Complaint_text,Catagory
Please fix my prepaid meter; it�s faulty.,Pre-paid
Please shift my meter to the new extension.,EEU Service
My bill shows an incorrect meter reading; fix it.,Bill
My house wiring is damaged; please send a technician.,Customer
Why was a new meter installed without telling me?,Meter
Please change the broken pole in my street.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please process my medical leave as an employee.,Employee
My meter is showing erratic numbers; please check.,Meter
Can you reduce my load? I sold my equipment.,Miscellaneous
My power was disconnected; I paid my bill.,EEU Service
The tariff applied is incorrect; I�m not a commercial user.,Bill
My internal wiring is causing lights to flicker; please help.,Customer
My prepaid meter was damaged by fire; please help.,Pre-paid
Please move the pole causing obstruction.,EEU Service
The reading on my bill is too high for my usage.,Bill
Please apply the employee tariff to my bill.,Employee
My meter was burnt due to your electrical fault.,Meter
Please apply a tariff for my three-phase connection.,Customer
My bill shows a credit balance  but I paid only what I owed.,Bill
The breaker is broken; please replace it.,Miscellaneous
The pole is dangerous; please repair it.,Supply
Please approve my annual leave as an employee.,Employee
The meter is broken; please repair it.,Pre-paid
Please relocate my meter to the front gate.,EEU Service
My bill is wrong; the reading is overstated.,Bill
Please fix the electrical fault in my internal lines.,Customer
The meter was changed  but I wasn�t notified.,Meter
Please fix the damaged pole in my street.,Supply
My house wiring keeps shorting; please repair.,Customer
Please grant my allowance application.,Employee
My energy meter is not registering usage; fix it.,Meter
I need to reduce my load for my shop.,Miscellaneous
My electricity was disconnected without notice.,EEU Service
Please fix the tariff error; my bill is too expensive.,Bill
There�s a fault in my home�s electrical lines; fix it.,Customer
The meter was burnt; please repair it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The meter reading on my bill is faulty; please check.,Bill
Please give me the employee tariff discount.,Employee
My meter caught fire because of your supply.,Meter
I need a tariff for my new office space; please change.,Customer
Why does my bill have a negative amount? I didn�t overpay.,Bill
The breaker is causing outages; please check.,Miscellaneous
The pole is cracked; it�s a hazard.,Supply
Please process my annual leave as a staff member.,Employee
Please check my prepaid meter; it�s not working.,Pre-paid
Please move my meter to a safer spot.,EEU Service
Please adjust the exaggerated reading on my bill.,Bill
My house wiring is sparking; please repair it.,Customer
I didn�t approve the meter replacement; explain this.,Meter
Please change the broken pole in my street.,Supply
My internal wiring is old and unsafe; please check.,Customer
Please approve my medical leave request.,Employee
My meter repair my meter; it�s giving false readings.,Meter
Can you switch to a tariff with fixed monthly rates?,Customer
The bill is negative; I haven�t made extra payments.,Bill
The breaker is not functioning; please fix.,Miscellaneous
The pole is unsafe; please replace it.,Supply
Please grant my annual leave application.,Employee
My meter is not working; I need a new one.,Pre-paid
Please shift my meter to the new building.,EEU Service
I�d like to switch to a tariff with lower nighttime rates.,Customer
My bill shows a refund I�m not entitled to; fix it.,Bill
There�s a problem with my internal electrical system.,Customer
Please clarify why my meter was swapped secretly.,Meter
Please fix the damaged pole near my home.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is stuck; it�s not recording my usage.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
Please reconnect my power; it was cut wrongly.,EEU Service
Please change my tariff to one for small businesses.,Customer
Please correct the negative balance on my bill.,Bill
My internal wiring needs urgent repair; please help.,Customer
Please fix the burnt prepaid meter at my house.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Can you apply a residential tariff to my new house?,Customer
The bill has a wrong credit amount; I owe money.,Bill
My house wiring is damaged; please send a technician.,Customer
My meter was changed without my knowledge.,Meter
Please change the broken pole in my street.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please approve my allowance as a staff member.,Employee
My meter is faulty after a storm; please replace.,Meter
I need a lower load for my small business.,Miscellaneous
My power is off; I paid on time.,EEU Service
I need a tariff that supports my low-energy lifestyle.,Customer
My bill is showing a negative value by mistake.,Bill
My internal wiring is causing power drops.,Customer
My prepaid meter is burnt; please replace.,Pre-paid
Please relocate the pole near my home.,EEU Service
Please update my tariff to a prepaid residential plan.,Customer
Why is my bill negative when I paid the exact amount?,Bill
There�s a spark in my internal wiring; it�s urgent.,Customer
Why didn�t you inform me about the new meter?,Meter
Please fix the damaged pole in my street.,Supply
My house wiring keeps shorting; please repair.,Customer
Please grant my medical leave application.,Employee
My energy meter is broken; please send a technician.,Meter
Please reduce my load; I don�t need it.,Miscellaneous
Why was my supply cut? I paid my bill!,EEU Service
I want a tariff change to reduce my monthly costs.,Customer
The bill shows a credit I didn�t earn; please check.,Bill
My internal wiring is causing lights to flicker; please help.,Customer
Please replace my burnt prepaid meter urgently.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My shop needs a commercial tariff; please apply it.,Customer
My bill has an incorrect negative balance; fix it.,Bill
Please fix the electrical fault in my internal lines.,Customer
The meter was replaced without my consent.,Meter
Please change the broken pole in my street.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my medical leave as an employee.,Employee
My meter fix my meter; it�s not functioning correctly.,Meter
Can you switch my tariff to a budget-friendly plan?,Customer
Please remove the negative amount from my bill.,Bill
My internal wiring needs urgent repair; please help.,Customer
I wasn�t told about the meter change; please explain.,Meter
Please fix the damaged pole near my home.,Supply
There�s a problem with my internal electrical system.,Customer
Please approve my allowance as an employee.,Employee
My meter is stuck; it�s not recording my usage.,Meter
I want to decrease my load for my apartment.,Miscellaneous
My electricity was disconnected; restore it.,EEU Service
I need a tariff for my home-based business; please help.,Customer
The bill shows a negative balance; I didn�t overpay.,Bill
My house wiring is damaged; please send a technician.,Customer
My prepaid meter was damaged by fire; please help.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please change my tariff to a domestic low-usage plan.,Customer
My bill is negative; please correct this error.,Bill
There�s a fault in my internal wiring; please repair.,Customer
My meter was swapped without any notice.,Meter
Please change the broken pole in my street.,Supply
My house wiring is sparking; please repair it.,Customer
Please grant my annual leave application.,Employee
My energy meter is not registering usage; fix it.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
I paid my dues; why is my power off?,EEU Service
I want a tariff with no peak-hour charges.,Customer
The negative amount on my bill is wrong; fix it.,Bill
My internal wiring is causing power drops.,Customer
The meter was burnt; please repair it.,Pre-paid
Please relocate the pole near my home.,EEU Service
Can you apply a tariff for my single-phase home?,Customer
My bill shows a credit  but I paid only my dues.,Bill
My house wiring keeps shorting; please repair.,Customer
The new meter was installed without informing me.,Meter
Please fix the damaged pole in my street.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter repair my meter; it�s giving false readings.,Meter
Please switch my tariff to a cheaper residential rate.,Customer
The bill has a negative value; that�s incorrect.,Bill
My internal wiring is old and unsafe; please check.,Customer
Why was my meter changed without my approval?,Meter
Please change the broken pole in my street.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as a staff member.,Employee
My meter is faulty after a storm; please replace.,Meter
I need a lower load for my small business.,Miscellaneous
My power was disconnected; I paid my bill.,EEU Service
I need a tariff for my new rental unit; please update.,Customer
Why is my bill showing a negative amount? Please fix.,Bill
There�s a problem with my internal electrical system.,Customer
Please fix the burnt prepaid meter at my property.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Can you change my tariff to a small business plan?,Customer
The bill is negative; I haven�t paid extra.,Bill
My house wiring is damaged; please send a technician.,Customer
Please explain the unannounced meter replacement.,Meter
Please fix the damaged pole near my home.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please grant my annual leave application.,Employee
My energy meter is broken; please send a technician.,Meter
Please reduce my load; I don�t need it.,Miscellaneous
My electricity was disconnected; restore it.,EEU Service
I want a tariff that fits my low consumption needs.,Customer
My bill shows a wrong credit balance; correct it.,Bill
My internal wiring is causing power drops.,Customer
My prepaid meter is burnt; please replace.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please apply a tariff for my three-phase connection.,Customer
Please fix the negative invoice; it�s inaccurate.,Bill
My house wiring keeps shorting; please repair.,Customer
My meter was replaced; why wasn�t I told?,Meter
Please change the broken pole in my street.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter fix my meter; it�s not functioning correctly.,Meter
I need a tariff for my new office space; please change.,Customer
The meter reading on my bill is triple my usual usage.,Bill
My internal wiring is old and unsafe; please check.,Customer
The meter change was done without my permission.,Meter
Please fix the damaged pole in my street.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is stuck; it�s not recording my usage.,Meter
I want to decrease my load for my apartment.,Miscellaneous
I paid my dues; why is my power off?,EEU Service
Can you switch to a tariff with fixed monthly rates?,Customer
My bill shows a reading that�s way too high for my home.,Bill
There�s a problem with my internal electrical system.,Customer
Please replace my burnt prepaid meter urgently.,Pre-paid
Please relocate the pole near my home.,EEU Service
Please update my tariff to a cost-effective plan.,Customer
The meter reading is wrong; my bill is astronomical.,Bill
My house wiring is damaged; please send a technician.,Customer
I didn�t know my meter was changed; please clarify.,Meter
Please change the broken pole in my street.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please grant my annual leave application.,Employee
My energy meter is not registering usage; fix it.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
My power was disconnected; I paid my bill.,EEU Service
I want a tariff for my vacation home; please apply.,Customer
Why is my bill so high? The reading is incorrect.,Bill
My internal wiring is causing power drops.,Customer
The meter was burnt; please repair it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Can you change my tariff to a prepaid business plan?,Customer
The bill reading doesn�t match my meter�s actual display.,Bill
My house wiring keeps shorting; please repair.,Customer
Why was the meter swapped without notifying me?,Meter
Please fix the damaged pole near my home.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter repair my meter; it�s giving false readings.,Meter
I need a tariff that lowers my electricity costs.,Customer
My bill is based on a reading that�s not possible.,Bill
My internal wiring is old and unsafe; please check.,Customer
My meter was replaced without warning; explain.,Meter
Please change the broken pole in my street.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is faulty after a storm; please replace.,Meter
I need a lower load for my small business.,Miscellaneous
My electricity was disconnected; restore it.,EEU Service
Please switch my tariff to a residential prepaid rate.,Customer
The meter reading on my bill is inflated; please check.,Bill
There�s a problem with my internal electrical system.,Customer
Please fix the burnt prepaid meter at my house.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I want a tariff with no additional surcharges.,Customer
My bill shows a high reading; my meter says otherwise.,Bill
My house wiring is damaged; please send a technician.,Customer
The new meter was installed without my consent.,Meter
Please fix the damaged pole in my street.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please grant my annual leave application.,Employee
My energy meter is broken; please send a technician.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
I paid my dues; why is my power off?,EEU Service
The bill is in my previous tenant�s name; please change it.,Customer
The reading on my bill is wrong; please verify.,Bill
My internal wiring is causing power drops.,Customer
My prepaid meter was damaged by fire; please help.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please update the account name to my new legal name.,Customer
Please correct the high reading on my bill.,Bill
My house wiring keeps shorting; please repair.,Customer
Please tell me why the meter was changed secretly.,Meter
Please change the broken pole in my street.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter fix my meter; it�s not functioning correctly.,Meter
I want a tariff with no peak-hour charges.,Customer
The bill shows a meter reading that�s too high.,Bill
My internal wiring is old and unsafe; please check.,Customer
My meter was burnt due to your electrical fault.,Meter
Please fix the damaged pole near my home.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is stuck; it�s not recording my usage.,Meter
I need a lower load for my small business.,Miscellaneous
My power was disconnected; I paid my bill.,EEU Service
Please update the bill name to my business name.,Customer
My bill is huge because of an incorrect reading.,Bill
There�s a problem with my internal electrical system.,Customer
Please replace my burnt prepaid meter.,Pre-paid
Please move the pole causing obstruction.,EEU Service
The account name is misspelled; please fix it.,Customer
The meter reading is exaggerated; please fix it.,Bill
My house wiring is damaged; please send a technician.,Customer
My meter caught fire because of your supply.,Meter
Please change the broken pole in my street.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please grant my annual leave application.,Employee
My energy meter is not registering usage; fix it.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
My electricity was disconnected; restore it.,EEU Service
I need to update the name on my account to my tenant�s.,Customer
Why is my bill based on such an inflated reading?,Bill
My internal wiring is causing power drops.,Customer
The meter was burnt; please repair it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please correct the name on my electricity bill.,Customer
The bill reading is higher than my meter shows.,Bill
My house wiring keeps shorting; please repair.,Customer
Please replace the meter damaged by your issue.,Meter
Please fix the damaged pole near my home.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter repair my meter; it�s giving false readings.,Meter
Can you apply a tariff for my single-phase home?,Customer
My bill shows an incorrect meter reading; fix it.,Bill
My internal wiring is old and unsafe; please check.,Customer
My meter burnt out due to an EEU problem.,Meter
Please change the broken pole in my street.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is faulty after a storm; please replace.,Meter
I want to decrease my load for my apartment.,Miscellaneous
I paid my dues; why is my power off?,EEU Service
The bill is in my old business name; update it.,Customer
The reading on my bill is too high for my usage.,Bill
There�s a problem with my internal electrical system.,Customer
Please fix the burnt prepaid meter at my house.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I need the account name changed to my new name.,Customer
My bill is wrong; the reading is overstated.,Bill
My house wiring is damaged; please send a technician.,Customer
I suspect my meter is overcharging; please test it.,Meter
Please fix the damaged pole in my street.,Supply
There�s a fault in my internal wiring; please repair.,Customer
Please grant my annual leave application.,Employee
My energy meter is broken; please send a technician.,Meter
Please reduce my load; I�m using less electricity.,Miscellaneous
My power was disconnected; I paid my bill.,EEU Service
The bill name is wrong; please update it to mine.,Customer
The meter reading on my bill is faulty; please check.,Bill
My internal wiring is causing power drops.,Customer
Please replace my burnt prepaid meter.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please change the account name to my new company.,Customer
Please adjust the exaggerated reading on my bill.,Bill
My house wiring keeps shorting; please repair.,Customer
Please check my meter; it�s showing high readings.,Meter
Please change the broken pole in my street.,Supply
There�s a spark in my internal wiring; it�s urgent.,Customer
Please approve my medical leave request.,Employee
My meter fix my meter; it�s not functioning correctly.,Meter
Please switch my tariff to a cheaper residential rate.,Customer
I�d like to switch to a tariff with lower nighttime rates.,Customer
My internal wiring is old and unsafe; please check.,Customer
Can you test my meter for accuracy?,Meter
Please fix the damaged pole near my home.,Supply
My house wiring is causing power fluctuations; fix it.,Customer
Please process my allowance as an employee.,Employee
My meter is stuck; it�s not recording my usage.,Meter
I need a lower load for my small business.,Miscellaneous
My electricity was disconnected; restore it.,EEU Service
I need to update the bill name to my current name.,Customer
Please change my tariff to one for small businesses.,Customer
There�s a problem with my internal electrical system.,Customer
My prepaid card was misplaced; please replace it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I need a tariff that supports my low-energy lifestyle.,Customer
My house wiring is damaged; please send a technician.,Customer
I can�t find my prepaid card; issue a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please update my tariff to a prepaid residential plan.,Customer
My internal wiring is causing power drops.,Customer
Please help; I lost my prepaid electricity card.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
I want a tariff change to reduce my monthly costs.,Customer
My house wiring keeps shorting; please repair.,Customer
My prepaid card is gone; I need a replacement.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My shop needs a commercial tariff; please apply it.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
The prepaid card was stolen; please provide a new one.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Can you switch my tariff to a budget-friendly plan?,Customer
My internal wiring is old and unsafe; please check.,Customer
I lost my prepaid card; how do I replace it?,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I need a tariff for my home-based business; please help.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
Please issue a new prepaid card; mine is missing.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Please change my tariff to a domestic low-usage plan.,Customer
There�s a problem with my internal electrical system.,Customer
My card is lost; please send a replacement.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I want a tariff with no peak-hour charges.,Customer
My house wiring is damaged; please send a technician.,Customer
I need a new prepaid card; the old one is gone.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Can you apply a tariff for my single-phase home?,Customer
My internal wiring is causing power drops.,Customer
My prepaid card was misplaced; please help.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please switch my tariff to a cheaper residential rate.,Customer
My house wiring keeps shorting; please repair.,Customer
I can�t locate my prepaid card; please replace it.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
I need a tariff for my new rental unit; please update.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
Please provide a new card; I lost my prepaid one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Can you change my tariff to a small business plan?,Customer
My internal wiring is old and unsafe; please check.,Customer
My prepaid card is missing; I need a new one.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I want a tariff that fits my low consumption needs.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
I lost my card; please issue a replacement.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please apply a tariff for my three-phase connection.,Customer
There�s a problem with my internal electrical system.,Customer
The prepaid card was stolen; I need a new one.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
I need a tariff for my new office space; please change.,Customer
My house wiring is damaged; please send a technician.,Customer
Please replace my lost prepaid card urgently.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Can you switch to a tariff with fixed monthly rates?,Customer
My internal wiring is causing power drops.,Customer
My card is gone; how do I get a new one?,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please update my tariff to a cost-effective plan.,Customer
My house wiring keeps shorting; please repair.,Customer
I misplaced my prepaid card; please send a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I want a tariff for my vacation home; please apply.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
My prepaid card is lost; please help.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Can you change my tariff to a prepaid business plan?,Customer
My internal wiring is old and unsafe; please check.,Customer
Please issue a replacement for my missing prepaid card.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I need a tariff that lowers my electricity costs.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
I scratched the code off my prepaid card; I can�t read it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please switch my tariff to a residential prepaid rate.,Customer
There�s a problem with my internal electrical system.,Customer
The code on my card is damaged; please replace it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I want a tariff with no additional surcharges.,Customer
My house wiring is damaged; please send a technician.,Customer
I ruined the prepaid card code by scratching; help.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
The bill is in my previous tenant�s name; please change it.,Customer
My internal wiring is causing power drops.,Customer
My card�s code is unreadable; I need a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please update the account name to my new legal name.,Customer
My house wiring keeps shorting; please repair.,Customer
Please issue a new card; I scratched off the code.,Pre-paid
Please move the pole causing obstruction.,EEU Service
The bill shows my old name; please correct it.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
The prepaid card code was scratched off; replace it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I need the account name changed to my business name.,Customer
My internal wiring is old and unsafe; please check.,Customer
I damaged the code on my card; please help.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
The bill is in my spouse�s name; update it to mine.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
My card�s code is gone; I need a replacement.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please change the name on my bill to my company�s name.,Customer
There�s a problem with my internal electrical system.,Customer
I scratched my prepaid card code by mistake; fix it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
The account name is misspelled; please fix it.,Customer
My house wiring is damaged; please send a technician.,Customer
Please replace my card; the code is unreadable.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
I need to update the name on my account to my tenant�s.,Customer
My internal wiring is causing power drops.,Customer
The code on my prepaid card is ruined; I need a new one.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Please correct the name on my electricity bill.,Customer
My house wiring keeps shorting; please repair.,Customer
I scratched off the code; please issue a new card.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The bill is in my old business name; update it.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
My card�s code is damaged; please replace it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I need the account name changed to my new name.,Customer
My internal wiring is old and unsafe; please check.,Customer
I can�t read the code on my prepaid card; help.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
The bill name is wrong; please update it to mine.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
The prepaid card code is scratched off; I need a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
Please change the account name to my new company.,Customer
There�s a problem with my internal electrical system.,Customer
I damaged my card�s code; please send a replacement.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I need to update the bill name to my current name.,Customer
My house wiring is damaged; please send a technician.,Customer
My prepaid card code is unreadable; please fix.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The bill is in my ex-partner�s name; change it.,Customer
My internal wiring is causing power drops.,Customer
I scratched the code by mistake; please replace it.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Please update the name on my account to my business.,Customer
My house wiring keeps shorting; please repair.,Customer
The code on my card is gone; issue a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The bill name is incorrect; please correct it.,Customer
There�s a spark in my internal wiring; it�s urgent.,Customer
My card�s code was scratched off; I need help.,Pre-paid
Please move the pole causing obstruction.,EEU Service
I need the account name updated to my new tenant.,Customer
My internal wiring is old and unsafe; please check.,Customer
My prepaid meter is broken; it won�t read cards.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
Please change the bill name to my legal name.,Customer
My house wiring is causing power fluctuations; fix it.,Customer
The prepaid meter is faulty; please replace it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The account name is outdated; please fix it.,Customer
There�s a problem with my internal electrical system.,Customer
My meter is damaged; it�s not accepting cards.,Pre-paid
Please move the pole causing obstruction.,EEU Service
My internal wiring is causing lights to flicker; please help.,Customer
Please fix my prepaid meter; it�s not working.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
There�s a fault in my home�s electrical lines; fix it.,Customer
The prepaid meter is broken; I need a new one.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
My internal wiring is old and unsafe; please check.,Customer
My meter won�t take my card; please repair it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
The wiring in my house keeps shorting; please repair.,Customer
Please replace my faulty prepaid meter.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please fix the electrical fault in my internal lines.,Customer
The prepaid meter is not functioning; please fix.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My home�s wiring is causing frequent power drops.,Customer
My meter is broken; please send a technician.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
There�s a spark in my internal wiring; it�s urgent.,Customer
The prepaid meter is damaged; I need help.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My house wiring is damaged; please send a technician.,Customer
My prepaid meter stopped working; please replace.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please repair the faulty internal lines in my home.,Customer
The meter is faulty; it�s not reading cards.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My internal wiring is causing breaker issues; fix it.,Customer
Please repair my prepaid meter; it�s broken.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
The wiring in my house is faulty; please check.,Customer
My meter is not accepting cards; please fix.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My internal lines are causing electrical shocks.,Customer
The prepaid meter is damaged; please replace it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please fix the short circuit in my home�s wiring.,Customer
My meter is not working; I need a new one.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My house wiring is sparking; please repair it.,Customer
Please fix my prepaid meter; it�s faulty.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
There�s a problem with my internal electrical system.,Customer
The meter is broken; please repair it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My internal wiring needs urgent repair; please help.,Customer
My prepaid meter is not functioning; replace it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
Please check the faulty wiring in my house.,Customer
Please check my prepaid meter; it�s not working.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My home�s electrical lines are causing issues.,Customer
My prepaid meter was burnt; I need a replacement.,Pre-paid
Please move the pole; it�s blocking my entrance.,EEU Service
There�s a fault in my internal wiring; please repair.,Customer
The meter caught fire; please replace it.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
My house wiring is causing power fluctuations; fix it.,Customer
My prepaid meter is burnt; please fix it.,Pre-paid
Please move the pole causing obstruction.,EEU Service
My power has been out for three days; please fix it!,Supply
Please replace my burnt prepaid meter urgently.,Pre-paid
Can you relocate the pole in my yard?,EEU Service
There�s no electricity in my area; send a technician.,Supply
My prepaid card code is scratched off; I need a new one.,Pre-paid
Please change my tariff to a domestic low-usage plan.,Customer
The bill shows a wrong meter number; please correct.,Bill
My house wiring is causing breaker trips; repair it.,Customer
Please fix the leaning pole in my area.,Supply
My meter is giving inconsistent readings; please test.,Meter
Please approve my travel allowance for this month.,Employee
I need to reduce my load for my small apartment.,Miscellaneous
My power was cut off despite payment; restore it.,EEU Service
The bill includes a surcharge I wasn�t informed about.,Bill
Please replace my damaged prepaid meter urgently.,Pre-paid
Can you move the pole? It�s blocking my driveway.,EEU Service
My internal wiring is sparking; please fix urgently.,Customer
Please apply the staff tariff to my account.,Employee
My meter board was burnt; please replace it.,Meter
The pole near my home is cracked; fix it.,Supply
I want a tariff with no extra fees for my home.,Customer
My bill shows usage from a disconnected meter.,Bill
Please reduce my load; I�m using less power.,Miscellaneous
My prepaid meter won�t read cards; please repair.,Pre-paid
Please restore my electricity; I cleared my dues.,EEU Service
The bill was sent to my old address; please resend.,Bill
My house wiring is causing power surges; fix it.,Customer
Please process my annual leave request.,Employee
My meter stopped after a power surge; replace it.,Meter
The pole is causing issues in my street; relocate it.,Supply
Can you apply a low-usage tariff to my house?,Customer
My bill has an incorrect billing period; fix it.,Bill
Please replace my faulty breaker; it trips daily.,Miscellaneous
My prepaid card was stolen; please issue a new one.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill shows a high tariff rate; please adjust.,Bill
My internal wiring needs repair; please send a technician.,Customer
Please approve my medical leave application.,Employee
My meter is not functioning; please replace it.,Meter
Please fix the damaged pole near my property.,Supply
I need a tariff for my small business; please update.,Customer
My bill is for a different account; please correct.,Bill
I want to decrease my load for my office.,Miscellaneous
My prepaid meter is burnt; please fix it.,Pre-paid
Please reconnect my power; it was cut in error.,EEU Service
The bill shows a negative value; please clarify.,Bill
My house wiring is outdated; please inspect it.,Customer
Please process my allowance application.,Employee
My meter board is unsafe after a fire; replace it.,Meter
The pole is leaning dangerously; please repair.,Supply
Can you switch my tariff to a residential plan?,Customer
My bill has unexplained charges; please remove them.,Bill
Please repair my faulty prepaid meter.,Pre-paid
Please relocate my meter to a safer location.,EEU Service
The bill is charging me for someone else�s usage.,Bill
My internal wiring is causing outages; fix it.,Customer
Please approve my annual leave as a staff member.,Employee
My meter is showing random readings; please check.,Meter
Please replace the broken pole in my area.,Supply
I need a tariff change to lower my costs.,Customer
